# 일본어 표제어 -> 한국어 뜻
#
# JMdict의 영어 뜻(CC BY-SA 4.0)을 참고해 한국어로 옮긴 것이므로, 이 파일도 JMdict의
# 파생 데이터에 해당한다. LICENSES.md 참고.
#
# 형식: 표제어<TAB>한국어뜻
# 검수 시에는 build/vocab_raw.csv 의 english 컬럼과 대조하면 된다.
一つ	하나, 한 개
七	일곱, 7
三	셋, 3
九	아홉, 9
二	둘, 2
二人	두 사람, 둘
五	다섯, 5
人々	사람들
人口	인구
人気	인기
人間	인간, 사람
今年	올해, 금년
今後	앞으로, 향후
今月	이번 달
会社	회사
会見	회견
会長	회장
八	여덟, 8
六	여섯, 6
前年	전년, 작년
北	북, 북쪽
十	열, 10
千	천, 1000
午前	오전
午後	오후
南	남, 남쪽
右	오른쪽
四	넷, 4
国	나라, 국가
国会	국회
外国	외국
外国人	외국인
大会	대회
大学	대학, 대학교
大手	대기업
女子	여자, 여성
子	아이, 자식
学校	학교
学生	학생
少し	조금, 약간
左	왼쪽
年間	연간, 1년간
後	뒤, 나중
手	손
新た	새로움, 새롭다
新聞	신문
時間	시간
木	나무
本社	본사
来年	내년
東	동, 동쪽
母	어머니
毎日	매일
気	기분, 마음
水	물
父	아버지
男	남자
男子	남자, 남학생
百	백, 100
社会	사회
社長	사장
花	꽃
行う	행하다, 실시하다
言う	말하다
言わば	말하자면
話	이야기
足	발, 다리
車	자동차, 차
道	길, 도로
長男	장남
電話	전화
高校	고등학교
一人	한 사람, 혼자
中間	중간
二つ	둘, 두 개
人生	인생
今日	오늘
何	무엇
先月	지난달
先生	선생님
円高	엔고, 엔화 강세
前半	전반
十分	충분함, 충분하다
半分	절반, 반
南北	남북
友人	친구
口	입
名	이름
名前	이름
国立	국립
外	밖, 바깥
大国	대국, 강대국
女	여자
少なくとも	적어도
少年	소년
山	산
年	해, 나이
後半	후반
新人	신인, 신입
本人	본인
火	불
男女	남녀
西	서, 서쪽
雨	비
電気	전기, 전등
三つ	셋, 세 개
下車	하차
中学	중학교
中学生	중학생
何か	무언가
出す	내다, 꺼내다
半	반, 절반
大人	어른, 성인
大半	대부분, 태반
天	하늘
小学校	초등학교
川	강, 하천
日	날, 해
本来	본래, 원래
来日	일본 방문, 방일
来月	다음 달
東西	동서
校長	교장
毎年	매년
気分	기분
白	흰색, 백
空	빔, 비어 있음
空気	공기, 분위기
耳	귀
高校生	고등학생
魚	물고기, 생선
お金	돈
上げる	올리다, 들어올리다
中学校	중학교
会話	회화, 대화
先に	먼저, 앞서
入学	입학
入社	입사
半年	반년
友	친구, 벗
名人	명인, 달인
土	흙, 땅
学会	학회
小学生	초등학생
少女	소녀
日々	나날, 매일
日中	낮, 주간
時	때, 시간
書店	서점
本名	본명
火山	화산
生きる	살다, 생존하다
白人	백인
白書	백서
空間	공간
聞かす	들려주다
週	주, 주간
長女	장녀
長年	오랜 세월, 여러 해
電子	전자
電車	전철, 전차
高さ	높이
お母さん	어머니, 엄마
今週	이번 주
休み	휴식, 휴일
休日	휴일
何とか	어떻게든, 그럭저럭
先週	지난주
入り口	입구
円	엔(일본 화폐), 원
分ける	나누다, 가르다
名目	명목
大気	대기
新聞社	신문사
本店	본점
来	다음~, 오는~
毎月	매월, 매달
毎週	매주
社会人	사회인, 직장인
読書	독서
間	사이, 동안
駅	역
一生	일생, 평생
上空	상공
中立	중립
何より	무엇보다
先日	일전, 며칠 전
出生	출생
前後	전후, 앞뒤
北東	북동
南西	남서
四つ	넷, 네 개
国土	국토
国外	국외, 해외
大いに	크게, 매우
天気	날씨
女の子	여자아이, 소녀
学長	총장, 학장
小川	시내, 개울
左右	좌우
年々	해마다, 매년
後ろ	뒤, 뒤쪽
来週	다음 주
水道	수도, 상수도
父母	부모
言語	언어
駅前	역 앞
お父さん	아버지, 아빠
一言	한마디
下げる	내리다, 낮추다
中道	중도
五分	반, 5할
今	지금, 현재
何でも	무엇이든
入国	입국
円安	엔저, 엔화 약세
半ば	중간, 절반
国々	여러 나라
国道	국도
多少	다소, 얼마간
大きい	크다
時々	때때로, 가끔
書道	서예
本の	그저, 단지
本国	본국
生る	열매를 맺다
男の子	남자아이, 소년
目前	눈앞, 목전
空中	공중
空白	공백
